State,"Prices January, 2011","Prices Febraury, 2011","Prices March, 2011","Prices April, 2011","Prices May, 2011","Prices June, 2011","Prices August, 2011","Prices September, 2011","Prices October, 2011","Prices November, 2011","Prices December, 2011","Prices January, 2012","Prices Febraury, 2012","Prices March, 2012","Prices April, 2012","Prices May, 2012","Prices June, 2012","Prices July, 2012","Prices August, 2012","Prices September, 2012","Prices October, 2012","Prices November, 2012","Prices December, 2012","Prices January, 2013","Prices April, 2013","Prices May, 2013","Prices June, 2013","Prices July, 2013","Prices August, 2013","Prices September, 2013","Prices October, 2013","Prices November, 2013","Prices December, 2013","Prices January, 2014","Prices Febraury, 2014","Prices March, 2014","Prices April, 2014","Prices May, 2014","Prices June, 2014","Prices July, 2014","Prices August, 2014","Prices September, 2014","Prices October, 2014","Prices November, 2014","Prices December, 2014","Prices January, 2015","Prices Febraury, 2015","Prices March, 2015","Prices April, 2015","Prices May, 2015","Prices June, 2015","Prices July, 2015","Prices August, 2015","Prices September, 2015","Prices October, 2015","Prices November, 2015","Prices November, 2015","Prices January, 2016","Prices Febraury, 2016","Prices March, 2016","Prices April, 2016","Prices May, 2016","Prices June, 2016","Prices July, 2016","Prices August, 2016","Prices September, 2016","Prices October, 2016","Prices November, 2016","Prices December, 2016","Prices January, 2017","Prices Febraury, 2017","Prices March, 2017","Prices April, 2017","Prices May, 2017","Prices June, 2017","Prices July, 2017","Prices August, 2017","Prices September, 2017","Prices October, 2017","Prices November, 2017","Prices December, 2017","Prices January, 2018","Prices Febraury, 2018","Prices March, 2018","Prices April, 2018","Prices May, 2018","Prices June, 2018","Prices July, 2018","Prices August, 2018","Prices September, 2018","Prices October, 2018","Prices November, 2018","Prices December, 2018","Prices January, 2019","Prices Febraury, 2019","Prices March, 2019","Prices April, 2019","Prices May, 2019","Prices June, 2019","Prices July, 2019","Prices August, 2019","Prices September, 2019","Prices October, 2019","Prices December, 2019","Prices January, 2020","Prices Febraury, 2020","Prices March, 2020","Prices April, 2020","Prices May, 2020","Prices June, 2020","Prices July, 2020","Prices August, 2020","Prices September, 2020","Prices October, 2020","Prices November, 2020","Prices December, 2020","Prices January, 2021","Prices Febraury, 2021","Prices March, 2021","Prices April, 2021","Prices May, 2021","Prices June, 2021","Prices July, 2021","Prices August, 2021","Prices September, 2021","Prices October, 2021","Prices November, 2021","Prices December, 2021","Prices January, 2022","Prices Febraury, 2022","Prices March, 2022","Prices April, 2022","Prices May, 2022","Prices June, 2022","Prices July, 2022","Prices August, 2022","Prices September, 2022","Prices October, 2022","Prices November, 2022","Prices December, 2022","Prices January, 2023","Prices Febraury, 2023","Prices March, 2023","Prices April, 2023","Prices May, 2023","Prices June, 2023","Prices July, 2023","Prices August, 2023","Prices September, 2023","Prices October, 2023","Prices November, 2023","Prices December, 2023","Prices January, 2024"
Madhya Pradesh,2145,797,449,352,360,472,672,1002,680,838,500,377,365,337,324,296,330,430,432,1190,625,855,921,1079,606,544,851,2859,4535,5327,2672,5322,2974,2018,621,574,617,584,907,2839,1007,2587,2752,2887,2808,806,2390,918,2066,2414,3075,3258,4710,4950,4081,4055,4055,768,533,536,482,394,489,483,402,384,398,559,529,544,443,498,408,297,765,643,1365,1127,1649,2264,4619,2249,1317,1869,651,472,581,887,769,575,916,789,546,479,375,422,481,511,617,819,1166,1872,2398,2770,2885,1660,1180,672,452,613,615,746,1813,3181,2941,2184,1803,2228,1163,810,1212,1415,1375,1295,1391,2588,2056,1127,1399,3721,961,657,644,785,754,1099,698,1768,1785,893,1083,827,731,633,687,901,930,1716,1859,1929,2949,1786,971
Maharashtra,2120,843,482,496,517,703,997,889,867,2800,605,394,351,369,410,380,474,549,610,375,786,1042,1130,1324,813,867,1320,1485,2701,3410,3220,2113,1124,791,629,684,792,910,1377,1089,1655,993,1232,1095,1105,1184,965,1116,756,832,1002,1333,2193,2810,1964,1306,1306,1140,791,684,674,671,770,762,671,508,615,857,699,594,501,528,509,436,551,728,1901,1451,2101,2734,2504,2487,1418,752,647,637,912,1069,941,780,1133,917,647,526,425,548,748,861,1142,1198,1802,2900,2726,5300,2977,1727,1384,988,652,744,680,1045,2416,3376,3560,2567,2403,3005,1296,876,1157,1256,1556,1462,1519,2145,3853,1994,1976,1454,1107,806,830,1151,1141,1123,1104,3702,4306,1318,1232,3387,2438,618,2209,1145,1212,4024,4590,2788,3351,2067,1669
Manipur,3131,3146,1522,1207,1238,1700,1746,2290,3500,1974,788,899,767,1300,753,751,899,989,878,555,567,560,2000,1367,1727,1623,1951,1958,3387,3813,4492,2558,1230,914,2254,1979,1946,2368,2371,1810,3616,1411,1477,1318,1372,2901,1318,2547,965,1147,1485,2020,4017,3883,2671,2000,2000,2722,2232,1750,1603,1924,2312,2210,2162,2223,2111,3177,3365,2591,2549,1781,1528,1840,2441,2683,3490,3713,3997,5000,2681,4931,4254,799,2118,1989,2257,3113,3156,3133,3123,3095,2957,2511,2488,2338,2131,2025,2242,2879,3027,3751,5020,7710,2356,1678,1510,789,789,789,678,981,2145,2356,2567,2157,2145,3540,1345,897,1134,1369,1678,2156,1567,2256,1987,2145,4658,2037,4082,3445,1245,1145,1234,1567,3238,2000,1587,4435,3715,2800,2134,2221,2893,1870,4067,1622,3800,4769,7131,6378,4337
Meghalaya,4797,4083,1300,1358,1389,1755,2114,1189,2263,887,1841,1479,1511,1323,1228,1313,1529,1585,1543,1610,768,2063,2455,2443,980,2884,1435,2953,3461,3840,4765,5471,4532,2204,1342,3276,2719,1134,2500,3469,1776,3586,3679,3376,3120,2433,2773,1546,2842,2864,3204,3492,4325,6643,5935,4703,4703,2998,3382,2701,2490,2196,2389,2155,2800,2750,2491,887,2750,2775,2813,2667,2459,2422,2200,2500,3242,3750,3886,5324,5892,5500,5500,2991,3194,3420,2825,3442,2813,2764,3090,2611,2486,2489,2025,2060,2122,2118,2186,2502,3121,4019,5051,8500,6745,1987,2134,897,891,987,980,1156,2346,2145,2675,1928,2267,6779,6500,1043,1098,1641,1798,1168,1987,2758,1787,3000,3877,4591,3569,2936,1043,1098,1156,1257,1419,1482,1627,1354,2987,1339,1094,1546,992,1071,4716,1716,9657,4058,3600,3600,3600
NCT of Delhi,2522,1035,684,600,543,592,1101,1628,1111,906,624,512,562,625,614,547,587,691,705,768,1027,1069,1150,1540,1056,897,2421,2000,3345,3589,4149,3858,7394,1654,1049,3554,3880,3913,4073,2135,2698,1695,6118,5338,5750,1422,2400,1345,1900,3122,3879,3874,5379,6936,5585,4808,4808,1197,929,956,827,702,730,770,757,648,738,1578,807,796,735,770,762,679,741,784,1881,1498,4857,2571,5500,2842,5912,5100,4915,762,1067,1237,1181,1006,1263,1037,810,697,660,707,727,841,998,1140,1633,2802,3045,3467,3811,1952,2356,978,725,833,974,1155,2041,3144,3256,3856,2499,3377,1520,1145,1364,1936,1977,1824,1714,3887,3983,1808,2110,3906,1628,1078,1032,1178,1266,1950,1182,2407,2546,2115,1561,1866,1752,981,1685,1759,1451,2357,1965,2495,3473,2453,2083
Odisha,3906,1874,1216,942,901,1014,1448,1213,1558,1599,985,863,846,789,947,925,1093,1117,1101,1191,1299,1704,1801,1795,1608,1501,1285,2086,3705,4688,4704,3482,1596,1223,1464,1095,1049,1088,1234,2513,1683,2293,1680,1558,1621,2121,1602,1498,1351,1322,1600,1901,3480,3796,2942,2117,2117,1958,1699,1535,1506,1364,1468,1665,1644,1600,1620,910,1497,1420,1255,1415,1353,1458,1377,775,2478,2427,1933,3616,2870,3913,1773,1030,773,1453,1452,1804,1883,1781,1868,1983,1643,1442,1365,1336,1225,1498,1733,2015,2382,3493,4097,5832,4909,2911,2485,2533,1659,1509,1555,1754,2805,4926,5915,2238,3429,4217,3373,2042,2167,2471,2610,2694,2654,2565,2043,3437,3057,2308,2858,2414,2316,2169,2012,1193,2118,1364,1460,1229,2195,1098,893,1648,915,998,2117,1634,2634,2940,5021,4173,2720
Punjab,2762,1200,916,752,508,491,1088,1050,1111,927,705,648,547,595,622,568,594,685,726,694,815,1030,1196,1365,1039,900,1826,2556,4056,4957,3881,4481,2353,1804,904,1370,1419,1453,1576,1821,1541,1548,2204,2277,2351,1379,2028,2001,1824,1814,2231,2445,3877,4439,3574,3222,3222,1153,970,926,806,677,641,763,796,697,751,837,883,840,771,738,745,681,666,624,1941,1556,2801,2606,4020,2932,2967,1938,1613,840,1054,1407,1181,1132,1389,1188,921,836,753,736,736,829,999,1188,1478,2320,2684,6294,3414,2132,1893,1276,845,952,999,1042,1973,3097,3614,2181,2344,2782,1799,1313,1354,1785,1807,1814,1635,2196,1975,1787,1924,2979,1610,1139,1017,1071,1200,1291,1155,1345,1423,1277,1284,1002,773,850,765,756,1421,1256,1815,2241,3297,2334,1787
Rajasthan,2153,1084,559,436,384,414,942,1793,1088,709,510,414,443,509,467,447,517,603,546,555,684,878,932,1039,842,745,1121,1847,3260,4064,3221,3125,1535,1122,868,990,940,957,1030,1697,3340,1598,1536,1508,1566,972,1542,1456,1230,1072,1448,1664,3021,3544,2779,2075,2075,905,830,792,684,572,575,640,662,683,649,600,667,613,628,595,554,534,572,630,1736,1454,2013,2460,2951,2659,2018,1184,901,746,875,1164,1095,1101,1183,926,670,626,602,486,532,609,852,1107,1408,2480,2813,6874,3574,2134,1538,965,683,1016,1048,872,1976,3016,3627,2156,2163,2077,1302,945,1048,1406,1548,1513,1459,2145,2156,1701,1622,2058,1174,726,712,1001,1234,1365,1157,1250,1490,1380,1188,1356,1567,723,1234,1123,1013,3587,1474,2037,3039,2125,1433
Tamil Nadu,4491,1906,1042,1000,987,1197,1733,562,1458,1458,1244,1200,976,914,1021,1000,787,888,554,867,787,880,980,1207,879,768,819,1572,3003,4254,3283,2933,1551,1045,702,918,952,751,907,2400,1678,1097,1213,1201,1291,1173,1195,1442,1125,914,1204,1515,2872,3697,2308,1639,1639,1037,797,703,728,636,738,730,660,460,371,586,545,572,635,598,496,650,1145,1442,1679,1368,1844,3213,2363,2484,1753,1070,809,1750,1265,1250,1354,1235,2000,1762,876,786,486,604,890,787,789,678,1243,1345,1456,1897,3467,2345,2314,897,987,987,981,981,2519,4578,2478,2588,2145,3125,1456,1678,1267,1236,1678,2156,1687,2567,2218,2457,1876,1796,2356,1117,678,879,1456,1024,1456,1345,1456,1456,2134,1205,1068,1145,1010,1202,1156,1567,3659,4133,5775,3150,3800
Telangana,2016,812,505,459,432,463,543,1258,1123,518,373,451,446,442,468,447,359,496,643,488,349,381,494,985,885,937,1173,1860,3383,3799,4276,2169,1102,785,1114,579,701,834,1120,1522,1832,1731,1551,1193,1154,1570,1311,1014,1015,1096,1316,1658,3600,3702,2217,1769,1769,2349,2046,1820,1801,1795,2131,2540,2240,2174,1989,1730,1860,1717,1597,1535,1402,461,637,774,1754,1718,1871,2423,2692,4522,1440,805,637,586,855,908,828,815,957,988,693,682,678,890,699,755,964,1069,1536,1861,2165,2861,3616,2232,2007,1138,873,936,860,991,2345,5093,4103,2749,2576,4325,1362,921,1165,1697,1570,1682,1692,4611,2381,2647,1734,1960,1265,777,687,977,1052,1417,962,2806,3292,2980,1437,1345,1967,911,2351,2590,1189,1602,1980,2910,3711,2425,1860
Uttar Pradesh,2386,1366,809,637,602,598,1001,860,1261,1052,957,658,617,635,630,580,553,665,756,744,824,1085,1240,1275,1163,1008,1052,1795,3022,4166,4383,3629,1873,1199,1132,1149,1138,1161,1221,1868,1832,1656,1656,1615,1550,1058,1533,1623,1445,1402,1506,1873,3180,4336,3466,2508,2508,1300,1165,991,977,913,845,925,950,865,838,893,901,856,869,866,896,763,770,780,1517,1357,2022,2600,2919,2909,2183,1474,1062,934,987,1462,1470,1334,1367,1431,1067,935,869,845,873,969,1056,1297,1585,2539,3378,4711,4313,2670,2084,1520,1029,999,1171,1193,1869,3195,3794,2391,2527,2948,2280,1401,1449,1669,2029,2048,1957,2510,2074,1796,1902,2147,2095,1405,1230,1224,1400,1455,1381,1439,1668,1357,1386,1383,1223,1213,1141,1085,1478,1730,1989,2219,3670,2752,1943
Uttrakhand,1620,884,664,531,462,459,688,1542,968,972,627,544,552,603,594,535,576,618,658,621,707,784,675,817,826,660,756,1337,3406,4146,4867,3319,1592,892,1316,1012,912,889,1055,1772,2366,1704,1677,1493,1116,1884,1058,1059,1023,803,897,1143,2671,3728,2790,2104,2104,970,896,863,800,829,825,848,745,708,624,693,714,788,730,684,695,657,694,1111,2402,2222,1229,1975,2383,2600,1932,1369,1054,809,988,1106,1159,1151,1231,1101,955,776,892,955,880,875,957,1095,1407,2092,2805,3752,4026,2224,2128,1719,1062,1095,1084,1174,1651,2926,3286,3512,2122,2864,1981,1199,1411,1691,1596,1637,1585,2213,3161,1600,1873,2106,1634,1305,1098,1238,1356,1913,1429,1557,1754,1609,1653,1473,1442,1370,1223,1276,1559,1797,1883,2119,3153,2489,1879
West Bengal,3621,1525,772,635,751,863,1456,1152,1486,1397,1145,815,802,707,706,732,806,918,1010,1045,1233,1654,1818,1852,1124,1210,1524,2526,4052,4658,,4122,2293,1588,1336,1284,1152,1396,1741,2415,2343,2111,1918,2090,2177,,1895,1507,1500,1788,2147,2430,4093,4838,3834,2819,2819,1739,1411,1176,1002,1005,1109,1205,1257,1183,1173,1293,1384,1261,1133,1009,841,972,1062,1234,2321,1354,2820,3680,4179,3968,3053,1800,1102,1126,1316,1834,1825,1682,1692,1710,1382,1245,1096,1045,896,1097,1396,1798,2167,3477,4141,7692,4830,2869,2118,1682,1335,1386,1558,1601,2918,4409,5102,2356,3444,3884,2616,1708,1939,2417,2529,2514,2422,3462,1456,2995,3009,2994,2505,1424,1352,1529,1833,2134,1891,2279,2452,2065,2190,1814,1387,1305,1497,1726,2099,2635,2870,3294,4821,3870,2626
