State,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Tamil Nadu,MADURAI,2014-15,Kharif,153,1300,8.5
Tamil Nadu,MADURAI,2014-15,Rabi,384,3307,8.61
Tamil Nadu,MADURAI,2015-16,Kharif,125,1205,9.64
Tamil Nadu,MADURAI,2015-16,Rabi,342,1367,4
Tamil Nadu,MADURAI,2016-17,Kharif,125,1294,10.35
Tamil Nadu,MADURAI,2016-17,Rabi,333,2712,8.14
Tamil Nadu,MADURAI,2017-18,Kharif,60,582,9.7
Tamil Nadu,MADURAI,2017-18,Rabi,191,1592,8.34
Tamil Nadu,MADURAI,2018-19,Kharif,195,1710,8.77
Tamil Nadu,MADURAI,2018-19,Rabi,140,800,5.71
Tamil Nadu,MADURAI,2019-20,Kharif,121,1110,9.17
Tamil Nadu,MADURAI,2019-20,Rabi,292,2062,7.06
Tamil Nadu,NAGAPATTINAM,2013-14,Kharif,10,116,11.6
Tamil Nadu,NAGAPATTINAM,2015-16,Rabi,5,32,6.4
Tamil Nadu,NAGAPATTINAM,2016-17,Rabi,5,23,4.6
Tamil Nadu,NAGAPATTINAM,2017-18,Rabi,5,46,9.2
Tamil Nadu,NAMAKKAL,2013-14,Kharif,743,10130,13.63
Tamil Nadu,NAMAKKAL,2013-14,Rabi,1276,13502,10.58
Tamil Nadu,NAMAKKAL,2014-15,Kharif,750,7820,10.43
Tamil Nadu,NAMAKKAL,2014-15,Rabi,1119,8225,7.35
Tamil Nadu,NAMAKKAL,2015-16,Kharif,1124,12487,11.11
Tamil Nadu,NAMAKKAL,2015-16,Rabi,1488,13035,8.76
Tamil Nadu,NAMAKKAL,2016-17,Kharif,1328,14548,10.95
Tamil Nadu,NAMAKKAL,2016-17,Rabi,1471,7597,5.16
Tamil Nadu,NAMAKKAL,2017-18,Kharif,514,5144,10.01
Tamil Nadu,NAMAKKAL,2017-18,Rabi,2117,30884,14.59
Tamil Nadu,NAMAKKAL,2018-19,Kharif,1595,9434,5.91
Tamil Nadu,NAMAKKAL,2018-19,Rabi,1863,14806,7.95
Tamil Nadu,NAMAKKAL,2019-20,Kharif,1242,6639,5.35
Tamil Nadu,NAMAKKAL,2019-20,Rabi,2568,19907,7.75
Tamil Nadu,PERAMBALUR,2013-14,Kharif,1589,14714,9.26
Tamil Nadu,PERAMBALUR,2013-14,Rabi,4032,38084,9.45
Tamil Nadu,PERAMBALUR,2014-15,Kharif,2257,14437,6.4
Tamil Nadu,PERAMBALUR,2014-15,Rabi,4168,34219,8.21
Tamil Nadu,PERAMBALUR,2015-16,Kharif,3223,19776,6.14
Tamil Nadu,PERAMBALUR,2015-16,Rabi,5673,23356,4.12
Tamil Nadu,PERAMBALUR,2016-17,Kharif,2382,20831,8.75
Tamil Nadu,PERAMBALUR,2016-17,Rabi,6243,38657,6.19
Tamil Nadu,PERAMBALUR,2017-18,Kharif,1991,17336,8.71
Tamil Nadu,PERAMBALUR,2017-18,Rabi,4744,44719,9.43
Tamil Nadu,PERAMBALUR,2018-19,Kharif,1725,9602,5.57
Tamil Nadu,PERAMBALUR,2018-19,Rabi,5523,36273,6.57
Tamil Nadu,PERAMBALUR,2019-20,Kharif,2207,10826,4.91
Tamil Nadu,PERAMBALUR,2019-20,Rabi,4779,36388,7.61
Tamil Nadu,PUDUKKOTTAI,2013-14,Kharif,8,93,11.63
Tamil Nadu,PUDUKKOTTAI,2013-14,Rabi,1,8,8
Tamil Nadu,PUDUKKOTTAI,2014-15,Kharif,19,161,8.47
Tamil Nadu,PUDUKKOTTAI,2014-15,Rabi,4,34,8.5
Tamil Nadu,PUDUKKOTTAI,2015-16,Kharif,6,58,9.67
Tamil Nadu,PUDUKKOTTAI,2015-16,Rabi,2,13,6.5
Tamil Nadu,PUDUKKOTTAI,2016-17,Kharif,1,15,15
Tamil Nadu,PUDUKKOTTAI,2016-17,Rabi,3,18,6
Tamil Nadu,PUDUKKOTTAI,2017-18,Kharif,2,19,9.5
Tamil Nadu,PUDUKKOTTAI,2017-18,Rabi,8,74,9.25
Tamil Nadu,PUDUKKOTTAI,2018-19,Kharif,3,31,10.33
Tamil Nadu,PUDUKKOTTAI,2018-19,Rabi,12,70,5.83
Tamil Nadu,PUDUKKOTTAI,2019-20,Kharif,8,75,9.38
Tamil Nadu,PUDUKKOTTAI,2019-20,Rabi,17,123,7.24
Tamil Nadu,RAMANATHAPURAM,2013-14,Rabi,194,1643,8.47
Tamil Nadu,RAMANATHAPURAM,2014-15,Rabi,208,1791,8.61
Tamil Nadu,RAMANATHAPURAM,2015-16,Rabi,132,856,6.48
Tamil Nadu,RAMANATHAPURAM,2016-17,Rabi,112,566,5.05
Tamil Nadu,RAMANATHAPURAM,2017-18,Rabi,101,939,9.3
Tamil Nadu,RAMANATHAPURAM,2018-19,Rabi,80,455,5.69
Tamil Nadu,RAMANATHAPURAM,2019-20,Rabi,79,557,7.05
Tamil Nadu,SALEM,2013-14,Kharif,755,9694,12.84
Tamil Nadu,SALEM,2013-14,Rabi,301,2387,7.93
Tamil Nadu,SALEM,2014-15,Kharif,644,3752,5.83
Tamil Nadu,SALEM,2014-15,Rabi,423,3643,8.61
Tamil Nadu,SALEM,2015-16,Kharif,715,6351,8.88
Tamil Nadu,SALEM,2015-16,Rabi,567,6441,11.36
Tamil Nadu,SALEM,2016-17,Kharif,641,6778,10.57
Tamil Nadu,SALEM,2016-17,Rabi,236,210,0.89
Tamil Nadu,SALEM,2017-18,Kharif,135,1469,10.88
Tamil Nadu,SALEM,2017-18,Rabi,300,3129,10.43
Tamil Nadu,SALEM,2018-19,Kharif,600,5259,8.77
Tamil Nadu,SALEM,2018-19,Rabi,224,1274,5.69
Tamil Nadu,SALEM,2019-20,Kharif,501,4589,9.16
Tamil Nadu,SALEM,2019-20,Rabi,930,6563,7.06
Tamil Nadu,SIVAGANGA,2013-14,Kharif,26,302,11.62
Tamil Nadu,SIVAGANGA,2013-14,Rabi,34,288,8.47
Tamil Nadu,SIVAGANGA,2014-15,Kharif,18,153,8.5
Tamil Nadu,SIVAGANGA,2014-15,Rabi,46,396,8.61
Tamil Nadu,SIVAGANGA,2015-16,Kharif,11,106,9.64
Tamil Nadu,SIVAGANGA,2015-16,Rabi,77,499,6.48
Tamil Nadu,SIVAGANGA,2016-17,Kharif,12,124,10.33
Tamil Nadu,SIVAGANGA,2016-17,Rabi,29,146,5.03
Tamil Nadu,SIVAGANGA,2017-18,Kharif,7,68,9.71
Tamil Nadu,SIVAGANGA,2017-18,Rabi,39,363,9.31
Tamil Nadu,SIVAGANGA,2018-19,Kharif,10,91,9.1
Tamil Nadu,SIVAGANGA,2018-19,Rabi,63,359,5.7
Tamil Nadu,SIVAGANGA,2019-20,Kharif,48,435,9.06
Tamil Nadu,SIVAGANGA,2019-20,Rabi,120,843,7.03
Tamil Nadu,THANJAVUR,2013-14,Kharif,23,267,11.61
