State,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Tamil Nadu,VILLUPURAM,2017-18,Kharif,141,1369,9.71
Tamil Nadu,VILLUPURAM,2017-18,Rabi,53,493,9.3
Tamil Nadu,VILLUPURAM,2018-19,Kharif,176,1541,8.76
Tamil Nadu,VILLUPURAM,2018-19,Rabi,54,308,5.7
Tamil Nadu,VILLUPURAM,2019-20,Kharif,381,3487,9.15
Tamil Nadu,VILLUPURAM,2019-20,Rabi,689,4861,7.06
Tamil Nadu,VIRUDHUNAGAR,2013-14,Kharif,180,939,5.22
Tamil Nadu,VIRUDHUNAGAR,2013-14,Rabi,864,7069,8.18
Tamil Nadu,VIRUDHUNAGAR,2014-15,Kharif,241,537,2.23
Tamil Nadu,VIRUDHUNAGAR,2014-15,Rabi,1001,3608,3.6
Tamil Nadu,VIRUDHUNAGAR,2015-16,Kharif,238,655,2.75
Tamil Nadu,VIRUDHUNAGAR,2015-16,Rabi,1790,5042,2.82
Tamil Nadu,VIRUDHUNAGAR,2016-17,Kharif,359,860,2.4
Tamil Nadu,VIRUDHUNAGAR,2016-17,Rabi,1148,234,0.2
Tamil Nadu,VIRUDHUNAGAR,2017-18,Kharif,87,48,0.55
Tamil Nadu,VIRUDHUNAGAR,2017-18,Rabi,792,1853,2.34
Tamil Nadu,VIRUDHUNAGAR,2018-19,Kharif,387,1064,2.75
Tamil Nadu,VIRUDHUNAGAR,2018-19,Rabi,1384,6756,4.88
Tamil Nadu,VIRUDHUNAGAR,2019-20,Kharif,282,1082,3.84
Tamil Nadu,VIRUDHUNAGAR,2019-20,Rabi,1460,5432,3.72
Telangana,ADILABAD,2013-14,Rabi,407,13568,33.34
Telangana,ADILABAD,2014-15,Kharif,9,140,15.56
Telangana,ADILABAD,2014-15,Rabi,366,9997,27.31
Telangana,ADILABAD,2015-16,Kharif,5,71,14.2
Telangana,ADILABAD,2015-16,Rabi,443,13354,30.14
Telangana,ADILABAD,2016-17,Kharif,4,60,15
Telangana,ADILABAD,2016-17,Rabi,47,1544,32.85
Telangana,ADILABAD,2017-18,Kharif,1,18,18
Telangana,ADILABAD,2017-18,Rabi,53,1927,36.36
Telangana,ADILABAD,2018-19,Kharif,1,13,13
Telangana,ADILABAD,2018-19,Rabi,74,2157,29.15
Telangana,ADILABAD,2019-20,Kharif,1,22,22
Telangana,ADILABAD,2019-20,Rabi,14,480,34.29
Telangana,BHADRADRI,2016-17,Rabi,4,131,32.75
Telangana,BHADRADRI,2017-18,Rabi,2,73,36.5
Telangana,"HANUMAKONDA
",2016-17,Rabi,102,3350,32.84
Telangana,"HANUMAKONDA
",2017-18,Kharif,8,147,18.38
Telangana,"HANUMAKONDA
",2017-18,Rabi,212,7710,36.37
Telangana,"HANUMAKONDA
",2018-19,Kharif,13,170,13.08
Telangana,"HANUMAKONDA
",2018-19,Rabi,194,5655,29.15
Telangana,"HANUMAKONDA
",2019-20,Rabi,126,4316,34.25
Telangana,JAGITIAL,2016-17,Rabi,405,13301,32.84
Telangana,JAGITIAL,2017-18,Kharif,59,1081,18.32
Telangana,JAGITIAL,2017-18,Rabi,411,14947,36.37
Telangana,JAGITIAL,2018-19,Kharif,18,235,13.06
Telangana,JAGITIAL,2018-19,Rabi,349,10173,29.15
Telangana,JAGITIAL,2019-20,Kharif,18,402,22.33
Telangana,JAGITIAL,2019-20,Rabi,130,4453,34.25
Telangana,JANGOAN,2016-17,Rabi,38,1248,32.84
Telangana,JANGOAN,2017-18,Rabi,58,2109,36.36
Telangana,JANGOAN,2018-19,Rabi,26,758,29.15
Telangana,JANGOAN,2019-20,Kharif,3,67,22.33
Telangana,JANGOAN,2019-20,Rabi,24,822,34.25
Telangana,JAYASHANKAR,2016-17,Rabi,14,460,32.86
Telangana,JAYASHANKAR,2017-18,Rabi,11,400,36.36
Telangana,JAYASHANKAR,2018-19,Rabi,21,612,29.14
Telangana,JAYASHANKAR,2019-20,Rabi,11,377,34.27
Telangana,JOGULAMBA,2016-17,Kharif,4208,62838,14.93
Telangana,JOGULAMBA,2016-17,Rabi,90,2956,32.84
Telangana,JOGULAMBA,2017-18,Kharif,3035,56050,18.47
Telangana,JOGULAMBA,2017-18,Rabi,264,9601,36.37
Telangana,JOGULAMBA,2018-19,Kharif,3251,42942,13.21
Telangana,JOGULAMBA,2018-19,Rabi,184,5363,29.15
Telangana,JOGULAMBA,2019-20,Kharif,1475,30544,20.71
Telangana,JOGULAMBA,2019-20,Rabi,503,17228,34.25
Telangana,KAMAREDDY,2016-17,Kharif,4,60,15
Telangana,KAMAREDDY,2016-17,Rabi,448,6418,14.33
Telangana,KAMAREDDY,2017-18,Kharif,22,403,18.32
Telangana,KAMAREDDY,2017-18,Rabi,536,9902,18.47
Telangana,KAMAREDDY,2018-19,Rabi,496,8666,17.47
Telangana,KAMAREDDY,2019-20,Kharif,11,245,22.27
Telangana,KAMAREDDY,2019-20,Rabi,184,3619,19.67
Telangana,KARIMNAGAR,2013-14,Rabi,669,17777,26.57
Telangana,KARIMNAGAR,2014-15,Kharif,18,280,15.56
Telangana,KARIMNAGAR,2014-15,Rabi,551,15051,27.32
Telangana,KARIMNAGAR,2015-16,Kharif,11,155,14.09
Telangana,KARIMNAGAR,2015-16,Rabi,513,15464,30.14
Telangana,KARIMNAGAR,2016-17,Rabi,44,1445,32.84
Telangana,KARIMNAGAR,2017-18,Kharif,1,18,18
Telangana,KARIMNAGAR,2017-18,Rabi,15,546,36.4
Telangana,KARIMNAGAR,2018-19,Rabi,11,321,29.18
Telangana,KARIMNAGAR,2019-20,Kharif,1,22,22
Telangana,KARIMNAGAR,2019-20,Rabi,17,582,34.24
Telangana,KHAMMAM,2013-14,Kharif,1,19,19
Telangana,KHAMMAM,2014-15,Kharif,1,16,16
Telangana,KHAMMAM,2014-15,Rabi,3,82,27.33
Telangana,KHAMMAM,2015-16,Kharif,5,71,14.2
Telangana,KHAMMAM,2015-16,Rabi,7,211,30.14
Telangana,KHAMMAM,2016-17,Rabi,4,131,32.75
Telangana,KHAMMAM,2017-18,Rabi,4,145,36.25
Telangana,KHAMMAM,2018-19,Rabi,2,58,29
Telangana,KHAMMAM,2019-20,Rabi,2,69,34.5
Telangana,KOMARAM BHEEM ASIFABAD,2016-17,Kharif,138,2083,15.09
Telangana,KOMARAM BHEEM ASIFABAD,2016-17,Rabi,206,6766,32.84
Telangana,KOMARAM BHEEM ASIFABAD,2017-18,Kharif,59,1081,18.32
Telangana,KOMARAM BHEEM ASIFABAD,2017-18,Rabi,48,1746,36.38
Telangana,KOMARAM BHEEM ASIFABAD,2018-19,Kharif,49,641,13.08
Telangana,KOMARAM BHEEM ASIFABAD,2018-19,Rabi,51,1487,29.16
Telangana,KOMARAM BHEEM ASIFABAD,2019-20,Kharif,3,67,22.33
Telangana,KOMARAM BHEEM ASIFABAD,2019-20,Rabi,34,1165,34.26
Telangana,MAHABUBABAD,2016-17,Kharif,5,75,15
Telangana,MAHABUBABAD,2016-17,Rabi,101,3317,32.84
Telangana,MAHABUBABAD,2017-18,Kharif,6,110,18.33
Telangana,MAHABUBABAD,2017-18,Rabi,139,5055,36.37
Telangana,MAHABUBABAD,2018-19,Kharif,6,78,13
Telangana,MAHABUBABAD,2018-19,Rabi,180,5247,29.15
Telangana,MAHABUBABAD,2019-20,Kharif,9,201,22.33
Telangana,MAHABUBABAD,2019-20,Rabi,102,3494,34.25
Telangana,MAHBUBNAGAR,2013-14,Kharif,3289,61850,18.81
Telangana,MAHBUBNAGAR,2013-14,Rabi,1050,35003,33.34
Telangana,MAHBUBNAGAR,2014-15,Kharif,5102,80300,15.74
Telangana,MAHBUBNAGAR,2014-15,Rabi,907,18882,20.82
Telangana,MAHBUBNAGAR,2015-16,Kharif,4694,67617,14.4
Telangana,MAHBUBNAGAR,2015-16,Rabi,1280,29939,23.39
Telangana,MAHBUBNAGAR,2016-17,Kharif,69,1030,14.93
Telangana,MAHBUBNAGAR,2016-17,Rabi,803,19357,24.11
Telangana,MAHBUBNAGAR,2017-18,Kharif,95,1740,18.32
Telangana,MAHBUBNAGAR,2017-18,Rabi,729,21371,29.32
Telangana,MAHBUBNAGAR,2018-19,Kharif,67,877,13.09
Telangana,MAHBUBNAGAR,2018-19,Rabi,235,7516,31.98
Telangana,MAHBUBNAGAR,2019-20,Kharif,52,1160,22.31
Telangana,MAHBUBNAGAR,2019-20,Rabi,220,9671,43.96
Telangana,MANCHERIAL,2016-17,Rabi,131,4302,32.84
Telangana,MANCHERIAL,2017-18,Rabi,130,4728,36.37
Telangana,MANCHERIAL,2018-19,Kharif,1,13,13
Telangana,MANCHERIAL,2018-19,Rabi,86,2507,29.15
Telangana,MANCHERIAL,2019-20,Kharif,2,45,22.5
Telangana,MANCHERIAL,2019-20,Rabi,35,1199,34.26
Telangana,MEDAK,2013-14,Kharif,256,4814,18.8
Telangana,MEDAK,2013-14,Rabi,3722,165729,44.53
Telangana,MEDAK,2014-15,Kharif,148,2301,15.55
Telangana,MEDAK,2014-15,Rabi,2543,68536,26.95
Telangana,MEDAK,2015-16,Kharif,296,4183,14.13
Telangana,MEDAK,2015-16,Rabi,4134,151825,36.73
Telangana,MEDAK,2016-17,Kharif,184,2777,15.09
Telangana,MEDAK,2016-17,Rabi,1115,32968,29.57
Telangana,MEDAK,2017-18,Kharif,87,1593,18.31
Telangana,MEDAK,2017-18,Rabi,915,38176,41.72
Telangana,MEDAK,2018-19,Kharif,304,3977,13.08
Telangana,MEDAK,2018-19,Rabi,507,12184,24.03
Telangana,MEDAK,2019-20,Kharif,233,5199,22.31
Telangana,MEDAK,2019-20,Rabi,342,8893,26
Telangana,MEDCHAL MALKAJGIRI,2016-17,Rabi,12,394,32.83
Telangana,MEDCHAL MALKAJGIRI,2017-18,Rabi,8,291,36.38
Telangana,MEDCHAL MALKAJGIRI,2019-20,Rabi,2,69,34.5
Telangana,MULUGU,2018-19,Rabi,1,29,29
Telangana,MULUGU,2019-20,Rabi,64,2192,34.25
Telangana,NAGARKURNOOL,2016-17,Kharif,6,90,15
Telangana,NAGARKURNOOL,2016-17,Rabi,74,2430,32.84
Telangana,NAGARKURNOOL,2017-18,Kharif,14,256,18.29
Telangana,NAGARKURNOOL,2017-18,Rabi,86,3128,36.37
Telangana,NAGARKURNOOL,2018-19,Kharif,15,196,13.07
Telangana,NAGARKURNOOL,2018-19,Rabi,52,1516,29.15
Telangana,NAGARKURNOOL,2019-20,Kharif,2,45,22.5
Telangana,NAGARKURNOOL,2019-20,Rabi,23,788,34.26
Telangana,NALGONDA,2013-14,Rabi,3,100,33.33
Telangana,NALGONDA,2014-15,Rabi,1,27,27
Telangana,NALGONDA,2015-16,Rabi,6,181,30.17
Telangana,NALGONDA,2019-20,Rabi,2,69,34.5
Telangana,NARAYANAPET,2018-19,Rabi,254,8123,31.98
Telangana,NARAYANAPET,2019-20,Kharif,11,245,22.27
Telangana,NARAYANAPET,2019-20,Rabi,89,3048,34.25
Telangana,NIRMAL,2016-17,Kharif,1,15,15
Telangana,NIRMAL,2016-17,Rabi,346,11364,32.84
Telangana,NIRMAL,2017-18,Kharif,14,256,18.29
Telangana,NIRMAL,2017-18,Rabi,378,13747,36.37
Telangana,NIRMAL,2018-19,Kharif,86,1125,13.08
Telangana,NIRMAL,2018-19,Rabi,474,13817,29.15
Telangana,NIRMAL,2019-20,Kharif,15,335,22.33
Telangana,NIRMAL,2019-20,Rabi,166,5686,34.25
Telangana,NIZAMABAD,2013-14,Kharif,25,470,18.8
Telangana,NIZAMABAD,2013-14,Rabi,2736,77390,28.29
Telangana,NIZAMABAD,2014-15,Kharif,34,528,15.53
Telangana,NIZAMABAD,2014-15,Rabi,2244,68628,30.58
Telangana,NIZAMABAD,2015-16,Kharif,11,155,14.09
Telangana,NIZAMABAD,2015-16,Rabi,1584,35965,22.71
Telangana,NIZAMABAD,2016-17,Kharif,56,845,15.09
Telangana,NIZAMABAD,2016-17,Rabi,1174,29067,24.76
Telangana,NIZAMABAD,2017-18,Kharif,24,440,18.33
Telangana,NIZAMABAD,2017-18,Rabi,910,29036,31.91
Telangana,NIZAMABAD,2018-19,Kharif,27,353,13.07
Telangana,NIZAMABAD,2018-19,Rabi,843,25273,29.98
Telangana,NIZAMABAD,2019-20,Kharif,44,982,22.32
Telangana,NIZAMABAD,2019-20,Rabi,513,17022,33.18
Telangana,PEDDAPALLI,2016-17,Kharif,20,302,15.1
Telangana,PEDDAPALLI,2017-18,Rabi,2,73,36.5
Telangana,PEDDAPALLI,2018-19,Kharif,1,13,13
Telangana,PEDDAPALLI,2018-19,Rabi,2,58,29
Telangana,PEDDAPALLI,2019-20,Rabi,3,103,34.33
Telangana,RAJANNA,2016-17,Rabi,58,1905,32.84
Telangana,RAJANNA,2017-18,Rabi,72,2618,36.36
Telangana,RAJANNA,2018-19,Kharif,6,78,13
Telangana,RAJANNA,2018-19,Rabi,46,1341,29.15
Telangana,RAJANNA,2019-20,Kharif,1,22,22
Telangana,RAJANNA,2019-20,Rabi,8,274,34.25
Telangana,RANGAREDDI,2013-14,Kharif,409,7691,18.8
Telangana,RANGAREDDI,2013-14,Rabi,2015,43858,21.77
Telangana,RANGAREDDI,2014-15,Kharif,240,2740,11.42
Telangana,RANGAREDDI,2014-15,Rabi,1579,42614,26.99
Telangana,RANGAREDDI,2015-16,Kharif,241,2115,8.78
Telangana,RANGAREDDI,2015-16,Rabi,2194,59363,27.06
Telangana,RANGAREDDI,2016-17,Kharif,116,2394,20.64
Telangana,RANGAREDDI,2016-17,Rabi,433,8114,18.74
Telangana,RANGAREDDI,2017-18,Kharif,102,1868,18.31
Telangana,RANGAREDDI,2017-18,Rabi,358,7035,19.65
Telangana,RANGAREDDI,2018-19,Kharif,109,1426,13.08
Telangana,RANGAREDDI,2018-19,Rabi,236,4642,19.67
Telangana,RANGAREDDI,2019-20,Kharif,11,245,22.27
Telangana,RANGAREDDI,2019-20,Rabi,149,2478,16.63
Telangana,SANGAREDDY,2016-17,Kharif,547,8256,15.09
Telangana,SANGAREDDY,2016-17,Rabi,1999,102591,51.32
Telangana,SANGAREDDY,2017-18,Kharif,137,2224,16.23
Telangana,SANGAREDDY,2017-18,Rabi,1538,72040,46.84
Telangana,SANGAREDDY,2018-19,Kharif,160,1231,7.69
Telangana,SANGAREDDY,2018-19,Rabi,1347,51675,38.36
Telangana,SANGAREDDY,2019-20,Kharif,40,290,7.25
Telangana,SANGAREDDY,2019-20,Rabi,694,15200,21.9
Telangana,SIDDIPET,2016-17,Kharif,27,408,15.11
Telangana,SIDDIPET,2016-17,Rabi,515,7117,13.82
Telangana,SIDDIPET,2017-18,Kharif,57,1044,18.32
Telangana,SIDDIPET,2017-18,Rabi,329,3557,10.81
Telangana,SIDDIPET,2018-19,Kharif,40,523,13.08
Telangana,SIDDIPET,2018-19,Rabi,306,3700,12.09
Telangana,SIDDIPET,2019-20,Kharif,1,22,22
Telangana,SIDDIPET,2019-20,Rabi,145,2783,19.19
Telangana,SURYAPET,2019-20,Kharif,9,201,22.33
Telangana,VIKARABAD,2016-17,Kharif,34,702,20.65
Telangana,VIKARABAD,2016-17,Rabi,1099,43513,39.59
Telangana,VIKARABAD,2017-18,Kharif,42,769,18.31
Telangana,VIKARABAD,2017-18,Rabi,1754,75959,43.31
Telangana,VIKARABAD,2018-19,Kharif,49,641,13.08
Telangana,VIKARABAD,2018-19,Rabi,1115,33846,30.36
Telangana,VIKARABAD,2019-20,Kharif,120,2678,22.32
Telangana,VIKARABAD,2019-20,Rabi,1047,53156,50.77
Telangana,WANAPARTHY,2016-17,Kharif,730,10901,14.93
Telangana,WANAPARTHY,2016-17,Rabi,21,690,32.86
Telangana,WANAPARTHY,2017-18,Kharif,556,10007,18
Telangana,WANAPARTHY,2017-18,Rabi,159,5782,36.36
Telangana,WANAPARTHY,2018-19,Kharif,609,8422,13.83
Telangana,WANAPARTHY,2018-19,Rabi,29,845,29.14
Telangana,WANAPARTHY,2019-20,Kharif,317,10048,31.7
Telangana,WANAPARTHY,2019-20,Rabi,226,7741,34.25
Telangana,WARANGAL,2013-14,Kharif,4,75,18.75
Telangana,WARANGAL,2013-14,Rabi,192,6401,33.34
Telangana,WARANGAL,2014-15,Rabi,173,4725,27.31
Telangana,WARANGAL,2015-16,Kharif,6,85,14.17
Telangana,WARANGAL,2015-16,Rabi,301,9074,30.15
Telangana,WARANGAL,2016-17,Kharif,4,60,15
Telangana,WARANGAL,2016-17,Rabi,138,4532,32.84
Telangana,WARANGAL,2017-18,Rabi,256,9310,36.37
Telangana,WARANGAL,2018-19,Rabi,301,8774,29.15
Telangana,WARANGAL,2019-20,Kharif,4,89,22.25
Telangana,WARANGAL,2019-20,Rabi,148,5069,34.25
Telangana,YADADRI,2016-17,Rabi,2,66,33
Telangana,YADADRI,2017-18,Rabi,1,36,36
Telangana,YADADRI,2019-20,Rabi,3,103,34.33
Uttar Pradesh,AGRA,2011-12,Rabi,87,1990,22.87
Uttar Pradesh,AGRA,2012-13,Rabi,72,1656,23
Uttar Pradesh,AGRA,2013-14,Rabi,28,570,20.36
Uttar Pradesh,AGRA,2014-15,Rabi,97,1484,15.3
Uttar Pradesh,AGRA,2015-16,Rabi,104,1224,11.77
Uttar Pradesh,AGRA,2016-17,Rabi,15,209,13.93
Uttar Pradesh,AGRA,2017-18,Rabi,35,511,14.6
Uttar Pradesh,AGRA,2018-19,Rabi,94,1455,15.48
Uttar Pradesh,AGRA,2019-20,Rabi,81,1155,14.26
Uttar Pradesh,ALIGARH,2011-12,Rabi,52,1190,22.88
Uttar Pradesh,ALIGARH,2012-13,Rabi,31,713,23
Uttar Pradesh,ALIGARH,2013-14,Rabi,31,631,20.35
Uttar Pradesh,ALIGARH,2014-15,Rabi,47,719,15.3
Uttar Pradesh,ALIGARH,2015-16,Rabi,115,1353,11.77
Uttar Pradesh,ALIGARH,2016-17,Rabi,44,613,13.93
Uttar Pradesh,ALIGARH,2017-18,Rabi,56,818,14.61
Uttar Pradesh,ALIGARH,2018-19,Rabi,143,2214,15.48
Uttar Pradesh,ALIGARH,2019-20,Rabi,93,1326,14.26
Uttar Pradesh,ALLAHABAD,2011-12,Rabi,393,8990,22.88
Uttar Pradesh,ALLAHABAD,2012-13,Rabi,351,8074,23
Uttar Pradesh,ALLAHABAD,2013-14,Rabi,351,7139,20.34
Uttar Pradesh,ALLAHABAD,2014-15,Rabi,324,4957,15.3
Uttar Pradesh,ALLAHABAD,2015-16,Rabi,400,4706,11.77
Uttar Pradesh,ALLAHABAD,2016-17,Rabi,350,4875,13.93
Uttar Pradesh,ALLAHABAD,2017-18,Rabi,376,5894,15.68
Uttar Pradesh,ALLAHABAD,2018-19,Rabi,477,5966,12.51
Uttar Pradesh,ALLAHABAD,2019-20,Rabi,336,6156,18.32
Uttar Pradesh,AMBEDKAR NAGAR,2011-12,Rabi,58,1327,22.88
Uttar Pradesh,AMBEDKAR NAGAR,2012-13,Rabi,65,1495,23
Uttar Pradesh,AMBEDKAR NAGAR,2013-14,Rabi,97,1973,20.34
Uttar Pradesh,AMBEDKAR NAGAR,2014-15,Rabi,103,1576,15.3
Uttar Pradesh,AMBEDKAR NAGAR,2015-16,Rabi,105,1235,11.76
Uttar Pradesh,AMBEDKAR NAGAR,2016-17,Rabi,89,1240,13.93
Uttar Pradesh,AMBEDKAR NAGAR,2017-18,Rabi,64,935,14.61
Uttar Pradesh,AMBEDKAR NAGAR,2018-19,Rabi,83,1285,15.48
Uttar Pradesh,AMBEDKAR NAGAR,2019-20,Rabi,142,2025,14.26
Uttar Pradesh,AMETHI,2011-12,Rabi,153,3500,22.88
Uttar Pradesh,AMETHI,2012-13,Rabi,165,3796,23.01
Uttar Pradesh,AMETHI,2013-14,Rabi,155,3153,20.34
Uttar Pradesh,AMETHI,2014-15,Rabi,177,2708,15.3
Uttar Pradesh,AMETHI,2015-16,Rabi,139,1636,11.77
Uttar Pradesh,AMETHI,2016-17,Rabi,59,822,13.93
Uttar Pradesh,AMETHI,2017-18,Rabi,123,1797,14.61
Uttar Pradesh,AMETHI,2018-19,Rabi,88,1362,15.48
Uttar Pradesh,AMETHI,2019-20,Rabi,149,2124,14.26
Uttar Pradesh,AMROHA,2011-12,Rabi,8,183,22.88
Uttar Pradesh,AMROHA,2012-13,Rabi,10,230,23
Uttar Pradesh,AMROHA,2013-14,Rabi,20,407,20.35
Uttar Pradesh,AMROHA,2014-15,Rabi,22,337,15.32
Uttar Pradesh,AMROHA,2015-16,Rabi,8,94,11.75
Uttar Pradesh,AMROHA,2016-17,Rabi,22,306,13.91
Uttar Pradesh,AMROHA,2017-18,Rabi,20,292,14.6
Uttar Pradesh,AMROHA,2018-19,Rabi,482,7461,15.48
Uttar Pradesh,AMROHA,2019-20,Rabi,17,242,14.24
Uttar Pradesh,AURAIYA,2011-12,Rabi,40,915,22.88
Uttar Pradesh,AURAIYA,2012-13,Rabi,27,621,23
Uttar Pradesh,AURAIYA,2013-14,Rabi,100,2034,20.34
Uttar Pradesh,AURAIYA,2014-15,Rabi,25,382,15.28
Uttar Pradesh,AURAIYA,2015-16,Rabi,7,82,11.71
Uttar Pradesh,AURAIYA,2016-17,Rabi,26,362,13.92
Uttar Pradesh,AURAIYA,2017-18,Rabi,35,526,15.03
Uttar Pradesh,AURAIYA,2018-19,Rabi,34,526,15.47
Uttar Pradesh,AURAIYA,2019-20,Rabi,15,167,11.13
Uttar Pradesh,AZAMGARH,2011-12,Rabi,82,1876,22.88
Uttar Pradesh,AZAMGARH,2012-13,Rabi,66,1518,23
Uttar Pradesh,AZAMGARH,2013-14,Rabi,79,1607,20.34
Uttar Pradesh,AZAMGARH,2014-15,Rabi,51,780,15.29
Uttar Pradesh,AZAMGARH,2015-16,Rabi,43,506,11.77
Uttar Pradesh,AZAMGARH,2016-17,Rabi,121,1685,13.93
Uttar Pradesh,AZAMGARH,2017-18,Rabi,146,2133,14.61
Uttar Pradesh,AZAMGARH,2018-19,Rabi,74,455,6.15
Uttar Pradesh,AZAMGARH,2019-20,Rabi,64,913,14.27
Uttar Pradesh,BAGHPAT,2011-12,Rabi,49,1121,22.88
Uttar Pradesh,BAGHPAT,2012-13,Rabi,35,805,23
Uttar Pradesh,BAGHPAT,2013-14,Rabi,27,549,20.33
Uttar Pradesh,BAGHPAT,2014-15,Rabi,15,229,15.27
Uttar Pradesh,BAGHPAT,2015-16,Rabi,70,823,11.76
Uttar Pradesh,BAGHPAT,2016-17,Rabi,14,195,13.93
Uttar Pradesh,BAGHPAT,2017-18,Rabi,131,1914,14.61
Uttar Pradesh,BAGHPAT,2018-19,Rabi,204,3158,15.48
Uttar Pradesh,BAGHPAT,2019-20,Rabi,7,100,14.29
Uttar Pradesh,BAHRAICH,2011-12,Rabi,68,1555,22.87
Uttar Pradesh,BAHRAICH,2012-13,Rabi,56,1288,23
Uttar Pradesh,BAHRAICH,2013-14,Rabi,129,2624,20.34
Uttar Pradesh,BAHRAICH,2014-15,Rabi,34,520,15.29
Uttar Pradesh,BAHRAICH,2015-16,Rabi,25,294,11.76
Uttar Pradesh,BAHRAICH,2016-17,Rabi,44,613,13.93
Uttar Pradesh,BAHRAICH,2017-18,Rabi,65,949,14.6
Uttar Pradesh,BAHRAICH,2018-19,Rabi,81,1254,15.48
Uttar Pradesh,BAHRAICH,2019-20,Rabi,87,1241,14.26
Uttar Pradesh,BALLIA,2011-12,Rabi,507,11597,22.87
Uttar Pradesh,BALLIA,2012-13,Rabi,825,18978,23
Uttar Pradesh,BALLIA,2013-14,Rabi,602,12244,20.34
Uttar Pradesh,BALLIA,2014-15,Rabi,231,3534,15.3
Uttar Pradesh,BALLIA,2015-16,Rabi,275,3235,11.76
Uttar Pradesh,BALLIA,2016-17,Rabi,508,7075,13.93
Uttar Pradesh,BALLIA,2017-18,Rabi,843,12314,14.61
Uttar Pradesh,BALLIA,2018-19,Rabi,796,4897,6.15
Uttar Pradesh,BALLIA,2019-20,Rabi,543,7743,14.26
Uttar Pradesh,BALRAMPUR,2011-12,Rabi,56,1281,22.88
Uttar Pradesh,BALRAMPUR,2012-13,Rabi,53,1219,23
Uttar Pradesh,BALRAMPUR,2013-14,Rabi,87,1769,20.33
Uttar Pradesh,BALRAMPUR,2014-15,Rabi,64,979,15.3
Uttar Pradesh,BALRAMPUR,2016-17,Rabi,52,724,13.92
Uttar Pradesh,BALRAMPUR,2017-18,Rabi,58,847,14.6
Uttar Pradesh,BALRAMPUR,2018-19,Rabi,104,1610,15.48
Uttar Pradesh,BALRAMPUR,2019-20,Rabi,39,556,14.26
Uttar Pradesh,BANDA,2011-12,Rabi,295,6748,22.87
Uttar Pradesh,BANDA,2012-13,Rabi,185,4256,23.01
Uttar Pradesh,BANDA,2013-14,Rabi,202,4108,20.34
Uttar Pradesh,BANDA,2014-15,Rabi,191,2922,15.3
Uttar Pradesh,BANDA,2015-16,Rabi,302,3553,11.76
Uttar Pradesh,BANDA,2016-17,Rabi,390,5432,13.93
Uttar Pradesh,BANDA,2017-18,Rabi,309,4514,14.61
Uttar Pradesh,BANDA,2018-19,Rabi,230,3560,15.48
Uttar Pradesh,BANDA,2019-20,Rabi,226,3223,14.26
Uttar Pradesh,BARABANKI,2011-12,Rabi,86,1967,22.87
Uttar Pradesh,BARABANKI,2012-13,Rabi,106,2438,23
Uttar Pradesh,BARABANKI,2013-14,Rabi,68,1383,20.34
Uttar Pradesh,BARABANKI,2014-15,Rabi,43,658,15.3
Uttar Pradesh,BARABANKI,2015-16,Rabi,101,1188,11.76
Uttar Pradesh,BARABANKI,2016-17,Rabi,83,1156,13.93
Uttar Pradesh,BARABANKI,2017-18,Rabi,90,1315,14.61
Uttar Pradesh,BARABANKI,2018-19,Rabi,115,1780,15.48
Uttar Pradesh,BARABANKI,2019-20,Rabi,92,1312,14.26
Uttar Pradesh,BAREILLY,2011-12,Rabi,68,1556,22.88
Uttar Pradesh,BAREILLY,2012-13,Rabi,43,989,23
Uttar Pradesh,BAREILLY,2013-14,Rabi,252,5125,20.34
Uttar Pradesh,BAREILLY,2014-15,Rabi,34,520,15.29
Uttar Pradesh,BAREILLY,2015-16,Rabi,22,259,11.77
Uttar Pradesh,BAREILLY,2016-17,Rabi,51,710,13.92
Uttar Pradesh,BAREILLY,2017-18,Rabi,35,511,14.6
Uttar Pradesh,BAREILLY,2018-19,Rabi,61,944,15.48
Uttar Pradesh,BAREILLY,2019-20,Rabi,645,9198,14.26
Uttar Pradesh,BASTI,2011-12,Rabi,55,1258,22.87
Uttar Pradesh,BASTI,2012-13,Rabi,51,1173,23
Uttar Pradesh,BASTI,2013-14,Rabi,82,1668,20.34
Uttar Pradesh,BASTI,2014-15,Rabi,52,796,15.31
Uttar Pradesh,BASTI,2015-16,Rabi,347,4082,11.76
Uttar Pradesh,BASTI,2016-17,Rabi,142,1978,13.93
Uttar Pradesh,BASTI,2017-18,Rabi,83,1212,14.6
Uttar Pradesh,BASTI,2018-19,Rabi,101,1563,15.48
Uttar Pradesh,BASTI,2019-20,Rabi,78,1112,14.26
Uttar Pradesh,BIJNOR,2011-12,Rabi,1,23,23
Uttar Pradesh,BIJNOR,2012-13,Rabi,1,23,23
Uttar Pradesh,BIJNOR,2013-14,Rabi,21,427,20.33
Uttar Pradesh,BIJNOR,2014-15,Rabi,2,31,15.5
Uttar Pradesh,BIJNOR,2018-19,Rabi,3,46,15.33
Uttar Pradesh,BIJNOR,2019-20,Rabi,4,57,14.25
Uttar Pradesh,BUDAUN,2011-12,Rabi,36,823,22.86
Uttar Pradesh,BUDAUN,2012-13,Rabi,123,2829,23
Uttar Pradesh,BUDAUN,2013-14,Rabi,33,671,20.33
Uttar Pradesh,BUDAUN,2014-15,Rabi,34,520,15.29
